x,Curve1
-0.00035,21.35
0.01795,21.59
0.04001,32.74
0.06287,54.77
0.08493,75.25
0.1067,123.68
0.12925,192.31
0.15099,276.47
0.17353,380.83
0.19634,469.66
0.21889,544.51
0.24146,602.27
0.2635,644.49
0.28608,680.5
0.30867,705.64
0.33046,723.01
0.35306,734.16
0.3754,740.66
0.398,751.82
0.42034,753.65
0.44301,753.16
0.46542,754.22
0.48783,754.51
0.51017,752.07
0.53237,750.41
0.55485,748.36
0.57746,750.2
0.59946,746.6
0.6216,747.65
0.64414,745.99
0.66629,741.22
0.68863,741.12
0.7109,740.23
0.73351,739.35
0.75565,736.53
0.77792,738.75
0.80087,737.1
0.82348,737.77
0.84636,735.73
0.86917,735.24
0.89178,731.64
0.91445,733.87
