*******************************************************************************
 Revised: Aug 19, 2022   Voyager 1 Spacecraft (interplanetary) / (Sun)     -31
                        http://www.jpl.nasa.gov/missions/voyager-1/

 BACKGROUND
   See the web-page above for information on the Voyager Mission

 TIMELINE
   1977-Sep-06  Launch from Kennedy Space Center @ 12:56 UTC
   1979-Mar-05  Jupiter closest-approach, Io imaging
   1980-Nov-12  Saturn encounter, Titan
   1990-Jan-01  Interstellar mission begins
   1990-Feb-14  Final Voyager image return
   1992-Apr-24  Final two-way tracking measurements
   1998-Feb-17  Exceeds Pioneer 10 distance (most distant man-made object)
   2004-Dec-15  Crosses solar system "bow shock" boundary
   2012-Aug-25  Passes heliopause and termination shock boundary

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Sep-5 to 1981-Jan-1:
          A patched conic mission-design type trajectory in which the conics
          were constructed to approximately match specific events, such as
          satellite encounters, providing a rough accuracy.

     #2) 1981-Jan-1 to 2100-Jan-1
          Refit of tracking data spanning 1981-1992 (end of two-way coherent
          transponder data). Done in 2022 by R. Jacobson (former Voyager
          navigation) using DE440 to generate a new solution and prediction.

   The reconstruction done in 2022 estimated:
      - Epoch state vector
      - Constant and stochastic non-gravitational accelerations
         (to account for the activity of three-axis attitude control system)
      - Thermal radiation from RTG power sources
      - Mismodelling of solar pressure
      - 96 impulsive maneuvers through Feb 1992

   Note there has been no new tracking data possible since 1992. This is a
   different issue from on-board telemetry, which continued beyond that date.

   The 2022 update refit the existing old tracking data using modern approaches
   and standards to allow consistent extrapolation to 2100.

   Formal predicted geocentric pointing uncertainty on 2030-Jan-1:
     RA +/- 1.701 arcseconds, DEC +/- 1.535 arcseconds

   This uncertainty is consistent with the new solution's difference with
   the A54206 prediction made in 1990.

   Tracking data used in 2022 solution:
     Points Type       First point            Last point       residual rms
       2366   F2   01-JAN-1981 05:14:00  15-APR-1989 08:09:00  0.133 mm/s
       2084   F3   07-JAN-1981 12:15:00  24-APR-1992 14:04:00  0.153 mm/s
       5191  PRA   01-JAN-1981 03:52:18  20-JAN-1989 14:13:59  228 m
         67  SRA   04-MAR-1989 10:58:56  13-OCT-1991 04:49:30  227 m
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Jan  7 13:23:31 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1_ST+refit2022_m}
Center body name: Earth (399)                     {source: Voyager_1_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Sep-05 13:59:24.3830 TDB
Stop  time      : A.D. 1977-Sep-06 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.250106.p250404
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-06. PREDICTS-> 2025-APR-03
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443392.082921099, A.D. 1977-Sep-05 13:59:24.3830,      48.182579,  7.355456330221665E+03, -1.124410433935416E+03, -8.700993990020331E+02,  8.063360468415693E+00,  1.076573149614706E+01,  5.543731102432076E+00,  2.498929645025006E-02,  7.491602606511139E+03,  5.657133740618201E+00,
2443392.083615544, A.D. 1977-Sep-05 14:00:24.3830,      48.182579,  7.827005697472316E+03, -4.769757853525854E+02, -5.362302110171012E+02,  7.660453026119973E+00,  1.080867154837185E+01,  5.581379825305540E+00,  2.621760038208511E-02,  7.859838861407035E+03,  6.591742058881379E+00,
2443392.084309989, A.D. 1977-Sep-05 14:01:24.3830,      48.182579,  8.275418892351912E+03,  1.719188799477273E+02, -2.007451686642433E+02,  7.292812177624891E+00,  1.081602568403381E+01,  5.598453997711131E+00,  2.761790102203757E-02,  8.279638432197355E+03,  7.377941996186249E+00,
2443392.085004433, A.D. 1977-Sep-05 14:02:24.3830,      48.182579,  8.702891537223983E+03,  8.204216488218514E+02,  1.352723788844657E+02,  6.962494384690606E+00,  1.079704810306015E+01,  5.599910214357474E+00,  2.916191831503979E-02,  8.742523171660998E+03,  8.030802694287996E+00,
2443392.085698877, A.D. 1977-Sep-05 14:03:24.3830,      48.182578,  9.111648905065558E+03,  1.467196083236975E+03,  4.710181299205962E+02,  6.668656212861967E+00,  1.075958608753947E+01,  5.590041555829687E+00,  3.082476401425839E-02,  9.241031771104468E+03,  8.568511560848471E+00,
2443392.086393322, A.D. 1977-Sep-05 14:04:24.3830,      48.182578,  9.503809851365728E+03,  2.111327465969693E+03,  8.059206186232233E+02,  6.408771466579535E+00,  1.070984687234352E+01,  5.572308419059082E+00,  3.258523664207749E-02,  9.768808187440078E+03,  9.009346464448226E+00,
2443392.087087766, A.D. 1977-Sep-05 14:05:24.3830,      48.182578,  9.881314373623347E+03,  2.752226559890424E+03,  1.139591438861246E+03,  6.179525231481916E+00,  1.065250760031753E+01,  5.549367254777818E+00,  3.442565587404093E-02,  1.032055199274087E+04,  9.370037312122353E+00,
2443392.087782211, A.D. 1977-Sep-05 14:06:24.3830,      48.182578,  1.024589501081255E+04,  3.389545037226155E+03,  1.471780290757666E+03,  5.977390198760085E+00,  1.059096815096992E+01,  5.523188008025633E+00,  3.633147254602533E-02,  1.089190145733245E+04,  9.665088838293574E+00,
2443392.088476655, A.D. 1977-Sep-05 14:07:24.3830,      48.182578,  1.059907505646815E+04,  4.023107252698986E+03,  1.802337980342750E+03,  5.798958026871808E+00,  1.052762969341284E+01,  5.495194004294814E+00,  3.829080541478114E-02,  1.147929467409695E+04,  9.906668906176478E+00,
2443392.089171099, A.D. 1977-Sep-05 14:08:24.3830,      48.182578,  1.094218132920323E+04,  4.652858021314062E+03,  2.131187610911575E+03,  5.641105502927160E+00,  1.046414426850509E+01,  5.466391787544016E+00,  4.029398776482807E-02,  1.207983363463973E+04,  1.010478182498079E+01,
2443392.089865544, A.D. 1977-Sep-05 14:09:24.3830,      48.182578,  1.127636360318691E+04,  5.278823993380212E+03,  2.458302930176018E+03,  5.501059319527720E+00,  1.040161739440405E+01,  5.437478928660766E+00,  4.233316222527091E-02,  1.269116275842671E+04,  1.026755589103221E+01,
