*******************************************************************************
 Revised: Aug 19, 2022   Voyager 2 Spacecraft (interplanetary) / (Sun)     -32
                        http://www.jpl.nasa.gov/missions/voyager-2/

 BACKGROUND
   See the web-page above for information on the Voyager Mission

 TIMELINE
   1977-Aug-20  Launch from Kennedy Space Center @ 14:29 UTC
   1978-Jun     Primary receiver failed, rest of mission on backup
   1979-Jul-09  Jupiter closest-approach
   1981-Aug-25  Saturn encounter
   1986-Jan-24  First Uranus encounter
   1987         Observes Supernova 1987A
   1989-Aug-25  First Neptune encounter; begins trip outside solar system
                 below ecliptic plane
   1992-Jul-17  Last transponder tracking data
   2007-Sep-05  Crosses solar system "bow shock" boundary
   2012-Aug-13  Becomes longest operating spacecraft
   2018-Nov-15  Crossed heliopause, entered interstellar space

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Aug-20 to 1989-Aug-29:
          A patched conic mission-design type trajectory in which the conics
          were constructed to approximately match specific events (such
          satellite encounters), providing a rough accuracy.

     #2) 1989-Aug-29 to 2100-Jan-1
          Refit of tracking data spanning 1989-1992 (from Neptune encounter to
          the end of two-way coherent transponder data). Produced in 2022 by
          R. Jacobson (former Voyager navigation) using DE440 to generate a new
          solution and long-term prediction.

   The reconstruction done in 2022 estimated:
      - Epoch state vector
      - Constant and stochastic non-gravitational accelerations
         (to account for the activity of three-axis attitude control system)
      - Thermal radiation from RTG power sources
      - Mismodelling of solar pressure
      - 24 impulsive maneuvers

   Note there has been no new tracking data possible since 1992. This is a
   different issue from on-board telemetry, which continued beyond that date.
   DSS-43 (Canberra) is the only DSN site still equipped to communicate with
   Voyager 2.

   The 2022 update refit the existing old tracking data using modern approaches
   and standards to allow consistent extrapolation to 2100.

   Formal predicted geocentric pointing uncertainty on 2030-Jan-1:
     RA +/- 4.718 arcseconds, DEC +/- 3.715 arcseconds

   This uncertainty is consistent with the new solution's difference with
   the M05016 prediction made in 1990.

   Tracking data used in 2022 solution:
     Points Type       First point            Last point       residual rms
        170   F2   31-Aug-1989 12:57:30  17-Jul-1992 20:17:00  0.137 mm/s
       1098   F3   30-Aug-1989 01:13:30  30-Oct-1992 18:05:00  0.120 mm/s
         67  SRA   31-Aug-1989 12:50:01  21-Jul-1991 19:38:58  229 m
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan  6 13:57:47 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2_ST+refit2022_m}
Center body name: Earth (399)                     {source: Voyager_2_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-20 15:32:32.1830 TDB
Stop  time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg
Calendar mode   : Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147594711, A.D. 1977-Aug-20 15:32:32.1830,  2.725387727357741E+00,  6.702452313736521E+03,  4.171238175574084E+01,  3.322029508364706E+02,  3.457327819003308E+02, -2.714551273637685E+02,  1.494070100100297E-01,  4.055729893131246E+01,  3.190057913544331E+01, -3.884606461181141E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148289155, A.D. 1977-Aug-20 15:33:32.1830,  2.725270874301917E+00,  6.702527761637655E+03,  4.171173260955833E+01,  3.322025837601772E+02,  3.457342007475007E+02, -3.314526816169319E+02,  1.493893097635164E-01,  4.951548732602003E+01,  3.766178578861091E+01, -3.884913297658054E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.148983600, A.D. 1977-Aug-20 15:34:32.1830,  2.725164994514912E+00,  6.702578389561215E+03,  4.171106359780870E+01,  3.322020920782965E+02,  3.457351104583659E+02, -3.914551187757359E+02,  1.493738654936977E-01,  5.847316425882623E+01,  4.287206600398979E+01, -3.885181075938692E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.149678044, A.D. 1977-Aug-20 15:35:32.1830,  2.725075425654953E+00,  6.702605774236707E+03,  4.171042594118560E+01,  3.322015166703251E+02,  3.457356860227023E+02, -4.514601737759297E+02,  1.493613172620948E-01,  6.743068624654708E+01,  4.755655397225147E+01, -3.885398675650347E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.150372488, A.D. 1977-Aug-20 15:36:32.1830,  2.725002856870661E+00,  6.702614697642796E+03,  4.170984714303405E+01,  3.322008982721831E+02,  3.457360615382388E+02, -5.114661982880800E+02,  1.493515943273381E-01,  7.638829215886720E+01,  5.175559182159328E+01, -3.885567302654821E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.151066933, A.D. 1977-Aug-20 15:37:32.1830,  2.724945595868050E+00,  6.702610588093840E+03,  4.170933793241061E+01,  3.322002700844050E+02,  3.457363262981170E+02, -5.714721807379390E+02,  1.493442952108082E-01,  8.534611006489111E+01,  5.551619672861330E+01, -3.885693904868267E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.151761377, A.D. 1977-Aug-20 15:38:32.1830,  2.724901091385433E+00,  6.702598194123807E+03,  4.170889875722573E+01,  3.321996558509225E+02,  3.457365339467014E+02, -6.314775973319350E+02,  1.493389297282745E-01,  9.430418853293347E+01,  5.888643041847767E+01, -3.885786975031890E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.152455822, A.D. 1977-Aug-20 15:39:32.1830,  2.724866755692859E+00,  6.702581146255406E+03,  4.170852459467572E+01,  3.321990707543571E+02,  3.457367139760086E+02, -6.914822398925749E+02,  1.493350404076464E-01,  1.032625282355275E+02,  6.191210723327229E+01, -3.885854443036704E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.153150266, A.D. 1977-Aug-20 15:40:32.1830,  2.724840320933192E+00,  6.702561986544889E+03,  4.170820805662698E+01,  3.321985233079926E+02,  3.457368811485237E+02, -7.514860807642756E+02,  1.493322477404169E-01,  1.122211055861657E+02,  6.463513567699137E+01, -3.885902889212720E+03,  9.999999999999998E+99,  9.999999999999998E+99,
