*******************************************************************************
 Revised: Aug 19, 2022   Voyager 2 Spacecraft (interplanetary) / (Sun)     -32
                        http://www.jpl.nasa.gov/missions/voyager-2/

 BACKGROUND
   See the web-page above for information on the Voyager Mission

 TIMELINE
   1977-Aug-20  Launch from Kennedy Space Center @ 14:29 UTC
   1978-Jun     Primary receiver failed, rest of mission on backup
   1979-Jul-09  Jupiter closest-approach
   1981-Aug-25  Saturn encounter
   1986-Jan-24  First Uranus encounter
   1987         Observes Supernova 1987A
   1989-Aug-25  First Neptune encounter; begins trip outside solar system
                 below ecliptic plane
   1992-Jul-17  Last transponder tracking data
   2007-Sep-05  Crosses solar system "bow shock" boundary
   2012-Aug-13  Becomes longest operating spacecraft
   2018-Nov-15  Crossed heliopause, entered interstellar space

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Aug-20 to 1989-Aug-29:
          A patched conic mission-design type trajectory in which the conics
          were constructed to approximately match specific events (such
          satellite encounters), providing a rough accuracy.

     #2) 1989-Aug-29 to 2100-Jan-1
          Refit of tracking data spanning 1989-1992 (from Neptune encounter to
          the end of two-way coherent transponder data). Produced in 2022 by
          R. Jacobson (former Voyager navigation) using DE440 to generate a new
          solution and long-term prediction.

   The reconstruction done in 2022 estimated:
      - Epoch state vector
      - Constant and stochastic non-gravitational accelerations
         (to account for the activity of three-axis attitude control system)
      - Thermal radiation from RTG power sources
      - Mismodelling of solar pressure
      - 24 impulsive maneuvers

   Note there has been no new tracking data possible since 1992. This is a
   different issue from on-board telemetry, which continued beyond that date.
   DSS-43 (Canberra) is the only DSN site still equipped to communicate with
   Voyager 2.

   The 2022 update refit the existing old tracking data using modern approaches
   and standards to allow consistent extrapolation to 2100.

   Formal predicted geocentric pointing uncertainty on 2030-Jan-1:
     RA +/- 4.718 arcseconds, DEC +/- 3.715 arcseconds

   This uncertainty is consistent with the new solution's difference with
   the M05016 prediction made in 1990.

   Tracking data used in 2022 solution:
     Points Type       First point            Last point       residual rms
        170   F2   31-Aug-1989 12:57:30  17-Jul-1992 20:17:00  0.137 mm/s
       1098   F3   30-Aug-1989 01:13:30  30-Oct-1992 18:05:00  0.120 mm/s
         67  SRA   31-Aug-1989 12:50:01  21-Jul-1991 19:38:58  229 m
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan 20 19:33:13 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2_ST+refit2022_m}
Center body name: Earth (399)                     {source: Voyager_2_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-20 15:32:32.1830 TDB
Stop  time      : A.D. 1977-Aug-20 16:32:32.1830 TDB
Step-size       : 3600 steps
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg
Calendar mode   : Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250120.p250418
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-20. PREDICTS-> 2025-APR-17
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147594711, A.D. 1977-Aug-20 15:32:32.1830,  2.725387727357741E+00,  6.702452313736521E+03,  4.171238175574084E+01,  3.322029508364706E+02,  3.457327819003308E+02, -2.714551273637685E+02,  1.494070100100297E-01,  4.055729893131246E+01,  3.190057913544331E+01, -3.884606461181141E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147606285, A.D. 1977-Aug-20 15:32:33.1830,  2.725385745795873E+00,  6.702453758941916E+03,  4.171237148909321E+01,  3.322029459171305E+02,  3.457328107461399E+02, -2.724550328870836E+02,  1.494067043017746E-01,  4.070660853409077E+01,  3.200115317053859E+01, -3.884611760166278E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147617859, A.D. 1977-Aug-20 15:32:34.1830,  2.725383764112336E+00,  6.702455198402114E+03,  4.171236119602943E+01,  3.322029409552157E+02,  3.457328393993473E+02, -2.734549404249279E+02,  1.494063987701575E-01,  4.085591787479645E+01,  3.210157356240575E+01, -3.884617056107720E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147629433, A.D. 1977-Aug-20 15:32:35.1830,  2.725381782382258E+00,  6.702456632074803E+03,  4.171235087697624E+01,  3.322029359507916E+02,  3.457328678607540E+02, -2.744548500258567E+02,  1.494060934263514E-01,  4.100522696427839E+01,  3.220184023914594E+01, -3.884622348811768E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147641007, A.D. 1977-Aug-20 15:32:36.1830,  2.725379800680301E+00,  6.702458059918292E+03,  4.171234053235934E+01,  3.322029309039272E+02,  3.457328961311633E+02, -2.754547616489735E+02,  1.494057882814460E-01,  4.115453580004270E+01,  3.230195312288370E+01, -3.884627638086163E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147652581, A.D. 1977-Aug-20 15:32:37.1830,  2.725377819080401E+00,  6.702459481891698E+03,  4.171233016260213E+01,  3.322029258146937E+02,  3.457329242113840E+02, -2.764546752831272E+02,  1.494054833464109E-01,  4.130384438405068E+01,  3.240191214172572E+01, -3.884632923740727E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147664155, A.D. 1977-Aug-20 15:32:38.1830,  2.725375837655835E+00,  6.702460897954896E+03,  4.171231976812602E+01,  3.322029206831654E+02,  3.457329521022293E+02, -2.774545909171161E+02,  1.494051786321037E-01,  4.145315271826900E+01,  3.250171722674938E+01, -3.884638205587216E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147675729, A.D. 1977-Aug-20 15:32:39.1830,  2.725373856479219E+00,  6.702462308068526E+03,  4.171230934935045E+01,  3.322029155094191E+02,  3.457329798045167E+02, -2.784545085396888E+02,  1.494048741492719E-01,  4.160246080466956E+01,  3.260136831198597E+01, -3.884643483439301E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147687303, A.D. 1977-Aug-20 15:32:40.1830,  2.725371875622512E+00,  6.702463712193977E+03,  4.171229890669283E+01,  3.322029102935345E+02,  3.457330073190680E+02, -2.794544281395462E+02,  1.494045699085515E-01,  4.175176864522911E+01,  3.270086533440411E+01, -3.884648757112574E+03,  9.999999999999998E+99,  9.999999999999998E+99,
