*******************************************************************************
 Revised: Aug 19, 2022   Voyager 2 Spacecraft (interplanetary) / (Sun)     -32
                        http://www.jpl.nasa.gov/missions/voyager-2/

 BACKGROUND
   See the web-page above for information on the Voyager Mission

 TIMELINE
   1977-Aug-20  Launch from Kennedy Space Center @ 14:29 UTC
   1978-Jun     Primary receiver failed, rest of mission on backup
   1979-Jul-09  Jupiter closest-approach
   1981-Aug-25  Saturn encounter
   1986-Jan-24  First Uranus encounter
   1987         Observes Supernova 1987A
   1989-Aug-25  First Neptune encounter; begins trip outside solar system
                 below ecliptic plane
   1992-Jul-17  Last transponder tracking data
   2007-Sep-05  Crosses solar system "bow shock" boundary
   2012-Aug-13  Becomes longest operating spacecraft
   2018-Nov-15  Crossed heliopause, entered interstellar space

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Aug-20 to 1989-Aug-29:
          A patched conic mission-design type trajectory in which the conics
          were constructed to approximately match specific events (such
          satellite encounters), providing a rough accuracy.

     #2) 1989-Aug-29 to 2100-Jan-1
          Refit of tracking data spanning 1989-1992 (from Neptune encounter to
          the end of two-way coherent transponder data). Produced in 2022 by
          R. Jacobson (former Voyager navigation) using DE440 to generate a new
          solution and long-term prediction.

   The reconstruction done in 2022 estimated:
      - Epoch state vector
      - Constant and stochastic non-gravitational accelerations
         (to account for the activity of three-axis attitude control system)
      - Thermal radiation from RTG power sources
      - Mismodelling of solar pressure
      - 24 impulsive maneuvers

   Note there has been no new tracking data possible since 1992. This is a
   different issue from on-board telemetry, which continued beyond that date.
   DSS-43 (Canberra) is the only DSN site still equipped to communicate with
   Voyager 2.

   The 2022 update refit the existing old tracking data using modern approaches
   and standards to allow consistent extrapolation to 2100.

   Formal predicted geocentric pointing uncertainty on 2030-Jan-1:
     RA +/- 4.718 arcseconds, DEC +/- 3.715 arcseconds

   This uncertainty is consistent with the new solution's difference with
   the M05016 prediction made in 1990.

   Tracking data used in 2022 solution:
     Points Type       First point            Last point       residual rms
        170   F2   31-Aug-1989 12:57:30  17-Jul-1992 20:17:00  0.137 mm/s
       1098   F3   30-Aug-1989 01:13:30  30-Oct-1992 18:05:00  0.120 mm/s
         67  SRA   31-Aug-1989 12:50:01  21-Jul-1991 19:38:58  229 m
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan  6 11:29:02 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2_ST+refit2022_m}
Center body name: Earth (399)                     {source: Voyager_2_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-20 15:32:32.1830 TDB
Stop  time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147594711, A.D. 1977-Aug-20 15:32:32.1830,      48.182846,  7.146925749518477E+03, -1.841500379612432E+03,  1.518784316991189E+03,  6.302624946849108E+00,  8.796310296315053E+00,  9.555713917883336E+00,  2.513408824360524E-02,  7.535010094139316E+03,  5.754345603624413E+00,
2443376.148289155, A.D. 1977-Aug-20 15:33:32.1830,      48.182846,  7.513438354530380E+03, -1.311047210468180E+03,  2.089389319809422E+03,  5.920525058736983E+00,  8.878861450139366E+00,  9.461766135385785E+00,  2.637818209251871E-02,  7.907980047087768E+03,  6.653052526114903E+00,
2443376.148983600, A.D. 1977-Aug-20 15:34:32.1830,      48.182846,  7.858144203332983E+03, -7.767453914872697E+02,  2.653951641721423E+03,  5.576073309650125E+00,  8.925984680269845E+00,  9.355529013910708E+00,  2.778755550702665E-02,  8.330499567262956E+03,  7.408138224850596E+00,
2443376.149678044, A.D. 1977-Aug-20 15:35:32.1830,      48.182846,  8.183330457034202E+03, -2.404765047492808E+02,  3.211938670499319E+03,  5.269709114693072E+00,  8.945699884967702E+00,  9.243524996807214E+00,  2.933492380363840E-02,  8.794388912335466E+03,  8.034915961808696E+00,
2443376.150372488, A.D. 1977-Aug-20 15:36:32.1830,      48.182846,  8.491233340686184E+03,  2.963318462485840E+02,  3.763155300846374E+03,  4.999506713326113E+00,  8.945033572146071E+00,  9.130502222076982E+00,  3.099637853440204E-02,  9.292480509926825E+03,  8.551233888075492E+00,
2443376.151066933, A.D. 1977-Aug-20 15:37:32.1830,      48.182846,  8.783931194455788E+03,  8.326355490825185E+02,  4.307643501799976E+03,  4.762286038621840E+00,  8.929725862890441E+00,  9.019667764203790E+00,  3.275159870928428E-02,  9.818682280485960E+03,  8.974759627020093E+00,
2443376.151761377, A.D. 1977-Aug-20 15:38:32.1830,      48.182846,  9.063294035012843E+03,  1.367696370827578E+03,  4.845599900567448E+03,  4.554384353809546E+00,  8.904252534379321E+00,  8.913027950493802E+00,  3.458365297264349E-02,  1.036791833128780E+04,  9.321543890084261E+00,
2443376.152455822, A.D. 1977-Aug-20 15:39:32.1830,      48.182846,  9.330970054341022E+03,  1.901010720815315E+03,  5.377313859017668E+03,  4.372128190604037E+00,  8.871993104586723E+00,  8.811718624141269E+00,  3.647860792144810E-02,  1.093601153318920E+04,  9.605451456195626E+00,
2443376.153150266, A.D. 1977-Aug-20 15:40:32.1830,      48.182846,  9.588393480310415E+03,  2.432250145615980E+03,  5.903123755808581E+03,  4.212087361369796E+00,  8.835441064124053E+00,  8.716277472494612E+00,  3.842507812115395E-02,  1.151954861878276E+04,  9.838095412381758E+00,
2443376.153844710, A.D. 1977-Aug-20 15:41:32.1830,      48.182846,  9.836803113030915E+03,  2.961214287048354E+03,  6.423387578125971E+03,  4.071188386915868E+00,  8.796403877880611E+00,  8.626849426510095E+00,  4.041379123827358E-02,  1.211574981242090E+04,  1.002902129557145E+01,
2443376.154539155, A.D. 1977-Aug-20 15:42:32.1830,      48.182846,  1.007726495270278E+04,  3.487794972760516E+03,  6.938464016271218E+03,  3.946745258947288E+00,  8.756172172054196E+00,  8.543333128061558E+00,  4.243720163925944E-02,  1.272235299007521E+04,  1.018598843678667E+01,
