*******************************************************************************
 Revised: Aug 19, 2022   Voyager 2 Spacecraft (interplanetary) / (Sun)     -32
                        http://www.jpl.nasa.gov/missions/voyager-2/

 BACKGROUND
   See the web-page above for information on the Voyager Mission

 TIMELINE
   1977-Aug-20  Launch from Kennedy Space Center @ 14:29 UTC
   1978-Jun     Primary receiver failed, rest of mission on backup
   1979-Jul-09  Jupiter closest-approach
   1981-Aug-25  Saturn encounter
   1986-Jan-24  First Uranus encounter
   1987         Observes Supernova 1987A
   1989-Aug-25  First Neptune encounter; begins trip outside solar system
                 below ecliptic plane
   1992-Jul-17  Last transponder tracking data
   2007-Sep-05  Crosses solar system "bow shock" boundary
   2012-Aug-13  Becomes longest operating spacecraft
   2018-Nov-15  Crossed heliopause, entered interstellar space

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Aug-20 to 1989-Aug-29:
          A patched conic mission-design type trajectory in which the conics
          were constructed to approximately match specific events (such
          satellite encounters), providing a rough accuracy.

     #2) 1989-Aug-29 to 2100-Jan-1
          Refit of tracking data spanning 1989-1992 (from Neptune encounter to
          the end of two-way coherent transponder data). Produced in 2022 by
          R. Jacobson (former Voyager navigation) using DE440 to generate a new
          solution and long-term prediction.

   The reconstruction done in 2022 estimated:
      - Epoch state vector
      - Constant and stochastic non-gravitational accelerations
         (to account for the activity of three-axis attitude control system)
      - Thermal radiation from RTG power sources
      - Mismodelling of solar pressure
      - 24 impulsive maneuvers

   Note there has been no new tracking data possible since 1992. This is a
   different issue from on-board telemetry, which continued beyond that date.
   DSS-43 (Canberra) is the only DSN site still equipped to communicate with
   Voyager 2.

   The 2022 update refit the existing old tracking data using modern approaches
   and standards to allow consistent extrapolation to 2100.

   Formal predicted geocentric pointing uncertainty on 2030-Jan-1:
     RA +/- 4.718 arcseconds, DEC +/- 3.715 arcseconds

   This uncertainty is consistent with the new solution's difference with
   the M05016 prediction made in 1990.

   Tracking data used in 2022 solution:
     Points Type       First point            Last point       residual rms
        170   F2   31-Aug-1989 12:57:30  17-Jul-1992 20:17:00  0.137 mm/s
       1098   F3   30-Aug-1989 01:13:30  30-Oct-1992 18:05:00  0.120 mm/s
         67  SRA   31-Aug-1989 12:50:01  21-Jul-1991 19:38:58  229 m
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jan 20 19:27:41 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2_ST+refit2022_m}
Center body name: Earth (399)                     {source: Voyager_2_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-20 15:32:32.1830 TDB
Stop  time      : A.D. 1977-Aug-20 16:32:32.1830 TDB
Step-size       : 3600 steps
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
EOP file        : eop.250120.p250418
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-20. PREDICTS-> 2025-APR-17
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147594711, A.D. 1977-Aug-20 15:32:32.1830,      48.182846,  7.146925749518477E+03, -1.841500379612432E+03,  1.518784316991189E+03,  6.302624946849108E+00,  8.796310296315053E+00,  9.555713917883336E+00,  2.513408824360524E-02,  7.535010094139316E+03,  5.754345603624413E+00,
2443376.147606285, A.D. 1977-Aug-20 15:32:33.1830,      48.182846,  7.153225043394342E+03, -1.832703212630987E+03,  1.528339320091615E+03,  6.295964377312671E+00,  8.798021645398583E+00,  9.554291341573482E+00,  2.515330973035204E-02,  7.540772550897556E+03,  5.770560822650848E+00,
2443376.147617859, A.D. 1977-Aug-20 15:32:34.1830,      48.182846,  7.159517681235400E+03, -1.823904340620056E+03,  1.537892897513766E+03,  6.289313257163255E+00,  8.799720885927259E+00,  9.552863137687348E+00,  2.517258523373155E-02,  7.546551201434884E+03,  5.786733509403341E+00,
2443376.147629433, A.D. 1977-Aug-20 15:32:35.1830,      48.182846,  7.165803672880414E+03, -1.815103775145122E+03,  1.547445044220197E+03,  6.282671614944310E+00,  8.801408055144726E+00,  9.551429347598004E+00,  2.519191461305408E-02,  7.552346003573602E+03,  5.802863684318268E+00,
2443376.147641007, A.D. 1977-Aug-20 15:32:36.1830,      48.182846,  7.172083027634187E+03, -1.806301528521144E+03,  1.556995754360699E+03,  6.276039479404836E+00,  8.803083190231741E+00,  9.549990012713931E+00,  2.521129772597393E-02,  7.558156914639535E+03,  5.818951367307956E+00,
2443376.147652581, A.D. 1977-Aug-20 15:32:37.1830,      48.182846,  7.178355755017509E+03, -1.797497612763597E+03,  1.566545022411119E+03,  6.269416878707662E+00,  8.804746328506727E+00,  9.548545174307630E+00,  2.523073443078858E-02,  7.563983892151337E+03,  5.834996579682225E+00,
2443376.147664155, A.D. 1977-Aug-20 15:32:38.1830,      48.182846,  7.184621864579146E+03, -1.788692039850601E+03,  1.576092842888534E+03,  6.262803840629316E+00,  8.806397507372562E+00,  9.547094873556874E+00,  2.525022458586808E-02,  7.569826893649424E+03,  5.850999343658198E+00,
2443376.147675729, A.D. 1977-Aug-20 15:32:39.1830,      48.182846,  7.190881365895442E+03, -1.779884821722828E+03,  1.585639210351146E+03,  6.256200392561541E+00,  8.808036764314222E+00,  9.545639151543465E+00,  2.526976804965815E-02,  7.575685876696883E+03,  5.866959682352698E+00,
2443376.147687303, A.D. 1977-Aug-20 15:32:40.1830,      48.182846,  7.197134268569946E+03, -1.771075970283426E+03,  1.595184119398195E+03,  6.249606561512818E+00,  8.809664136896448E+00,  9.544178049252018E+00,  2.528936468068307E-02,  7.581560798880362E+03,  5.882877619774660E+00,
2443376.147698877, A.D. 1977-Aug-20 15:32:41.1830,      48.182846,  7.203380582233021E+03, -1.762265497397942E+03,  1.604727564669854E+03,  6.243022374109900E+00,  8.811279662761409E+00,  9.542711607568762E+00,  2.530901433754868E-02,  7.587451617810962E+03,  5.898753180817528E+00,
2443376.147710451, A.D. 1977-Aug-20 15:32:42.1830,      48.182846,  7.209620316541467E+03, -1.753453414894238E+03,  1.614269540847132E+03,  6.236447856599380E+00,  8.812883379626390E+00,  9.541239867280359E+00,  2.532871687894536E-02,  7.593358291125118E+03,  5.914586391251692E+00,
